UserID,FirstName,LastName,Email,Password,Address,City,Country,PhoneNumber,BirthDate,MaritalStatus,Gender,AnnualIncome,TotalChildren,EducationLevel,Occupation,CarOwner
USR00001,Jeffery,Ramirez,jeffery.ramirez693@mycompany.com,!uF2z^EcaF,Unit 44 4 Kevin Drive,Perth,Australia,+61-2-0294-8168,1989-04-24,Single,Male,65751,2,Master's Degree,Scientist,Yes
USR00002,Philip,Guerrero,philip.guerrero149@mycompany.com,^0WE3kKizd,7 Butler Rosebowl,Adelaide,Australia,0452-172-609,1981-10-13,Single,Male,27684,0,Associate's Degree,Accountant,No
USR00003,Hannelore,Ziegert,hannelore.ziegert637@mycompany.com,itzD$)gQ)5,Döringgasse 271,Berlin,Germany,+49(0) 195804316,1995-05-01,Married,Female,45249,1,High School,Manager,Yes
USR00004,Shane,Smith,shane.smith70@mycompany.com,m_x8KIhaQ2,Suite 849 393 Anthony Quay,Melbourne,Australia,0706326229,1984-09-07,Single,Male,47733,1,Bachelor's Degree,Scientist,Yes
USR00005,Sylwia,Mülichen,sylwia.mülichen491@mycompany.com,#bHn5oLs!Y,Kriemhild-Hölzenbecher-Platz 81,Cologne,Germany,+49(0)3718 463110,1989-11-24,Divorced,Female,48662,0,PhD,Lawyer,Yes
USR00006,Heidi,Morrow,heidi.morrow423@mycompany.com,5$8EqCDs_c,5899 Luis Road,Montreal,Canada,(929) 104-6566,1991-06-08,Divorced,Female,51754,1,High School,Nurse,Yes
USR00007,דוד,אסולין,דוד.אסולין78@mycompany.com,_T*6C(3crD,הורדים 75,Jerusalem,Israel,052-466-2246,1985-07-09,Divorced,Male,70615,1,Bachelor's Degree,Scientist,Yes
USR00008,Cheryl,Green,cheryl.green888@mycompany.com,gKUg0hFm#u,180 Mccarty Plateau,Adelaide,Australia,(08)36423356,1983-12-22,Single,Female,48360,3,Bachelor's Degree,Artist,No
USR00009,Michelle,Serrano,michelle.serrano26@mycompany.com,,702 Jack Cliff Suite 915,Phoenix,United States,233-662-9180x518,1995-02-22,Single,Female,67985,0,Master's Degree,Teacher,No
USR00010,Ekalinga,Dyal,ekalinga.dyal170@mycompany.com,&HNEd%Xg#1,"H.No. 300, Halder Path",Delhi,India,+912091300193,1975-09-25,Single,Male,48291,2,Bachelor's Degree,Scientist,No
USR00011,Ester,Lima,ester.lima361@mycompany.com,)67CE&yvV3,"Via Aparecida, 501",Fortaleza,Brazil,(031) 0379 1153,1991-11-07,Divorced,Female,56177,0,Master's Degree,Artist,Yes
USR00012,George,Pratt,george.pratt49@mycompany.com,M!11yWxI%W,9 Freeman hill,Glasgow,United Kingdom,0118 496 0308,1991-03-03,Single,Male,45797,1,PhD,Accountant,Yes
USR00013,Louise,Martins,louise.martins330@mycompany.com,5)9Z+f7QKk,"16, boulevard de Fischer",Lyon,France,01 75 34 79 28,1990-03-25,Married,Female,45802,0,Bachelor's Degree,Engineer,Yes
USR00014,Marius,Ernst,marius.ernst67@mycompany.com,_F3nHenNEp,Casparstr. 3,Hamburg,Germany,03345 04420,1979-10-07,Divorced ^.=,Male,27033,1,Bachelor's Degree,Salesperson,Yes
USR00015,Andrew,Glover,andrew.glover21@mycompany.com,a#8D7rXo&T,Level 4 478 Melissa Grove,Brisbane,Australia,03 3353 4059,1997-06-17,Married,Male,43172,0,Bachelor's Degree,Salesperson,No
USR00016,ינון,דקל,ינון.דקל105@mycompany.com,zx3M(oFd**,אייזיק ניוטון 20,Petah Tikva,Israel,036866352,1993-08-08,Married,Male,47986,0,High School,Salesperson,Yes
USR00017,Margaret,Robertson,margaret.robertson640@mycompany.com,%DH0%LSy!*,1143 Cummings Fields Apt. 731,Los Angeles,United States,956.225.1980x69336,1993-11-23,Married,Female,44979,0,Associate's Degree,Manager,Yes
USR00018,Lori,Sanchez,lori.sanchez985@mycompany.com,_AI3LJik6c,489 Sherry Knoll,,United States,215.638.7381,1983-08-07,Single,Female,39722,2,Master's Degree,Artist,No
USR00019,Nicholas,Case,nicholas.case708@mycompany.com,)K15ZscX&@,6559 Johnson Ways Apt. 315,Houston,United States,338-930-1080,1985-03-16,Single,Male,38234,1,Associate's Degree,Artist,Yes
USR00020,Eric,Carbonell,eric.carbonell396@mycompany.com,b1gbduNt!i,Pasaje Raúl Pavón 64,Zaragoza,Spain,+34882 641 571,1983-03-15,Married,Male,55162,0,Associate's Degree,Developer,Yes
USR00021,Soledad,Ávila,soledad.ávila785@mycompany.com,M7^ADYOp_0,Prolongación Angulo 978 Interior 868,Tijuana,Mexico,(994)042-5508x11928,1995-03-09,Single,Female,36675,0,Master's Degree,Teacher,No
USR00022,Ana Julia,da Paz,ana julia.da paz158@mycompany.com,QrmZtFFb!6,"Colônia de Barbosa, 75",Fortaleza,Brazil,(051) 8389-7421,1995-09-09,Single,Female,50983,2,High School,Salesperson,No
USR00023,Nadin,Mangold,nadin.mangold85@mycompany.com,&qT1IR^cPh,Dörschnerring 20,Berlin,Germany,09137 40926,2000-11-21,Married,Female,58959,2,High School,Manager,Yes
USR00024,Loretta,Pozzecco,loretta.pozzecco293@mycompany.com,r*Wg#0xH+A,"Incrocio Ippazio, 373",Palermo,Italy,07658539866,1990-05-28,Single,Female,50309,1,Associate's Degree,Scientist,No
USR00025,Kristen,Kennedy,kristen.kennedy633@mycompany.com,IVO&xydq@3,71501 Kimberly Trafficway,Calgary,Canada,541-510-1884,1978-05-16,Single,Female,56844,1,Bachelor's Degree,Nurse,Yes
USR00026,Collin,Jones,collin.jones17@mycompany.com,a^$i9UZvCP,931 Adams Drive,New York,United States,(797)310-1278,1983-02-26,Single,Male,25644,2,High School,Manager,Yes
USR00027,Guiseppe,Mies,guiseppe.mies900@mycompany.com,@C5GBcUG$(,Roggeweg 61,Cologne,Germany,(03521) 456297,1977-06-06,Married,Male 'Pl,63598,0,High School,Engineer,Yes
USR00028,Frédéric,Munoz,frédéric.munoz908@mycompany.com,CE!e3^Hh@8,"71, boulevard de Devaux",Nice,France,+33 3 45 02 68 98,1983-11-24,Married,Male,66161,2,Master's Degree,Lawyer,No
USR00029,Ottone,Marcacci,ottone.marcacci6@mycompany.com,(r8(FQby^!,"Incrocio Mario, 664 Appartamento 76",Milan,Italy,+39 3681563314,1989-10-15,Single,Male,63636,0,High School,Engineer,No
USR00030,Nicolas,Rios,nicolas.rios909@mycompany.com,*mDU2wi&_1,"Núcleo Maitê Borges, 54",São Paulo,Brazil,21 8904-7252,1993-07-14,Married,Male,49439,2,Master's Degree,Salesperson,No
USR00031,Kimberly,Henderson,kimberly.henderson404@mycompany.com,jKIIjldu&9,26780 Barron Pass,Phoenix,United States,921.998.9737x7056,1994-02-14,Divorced,Female,75827,0,High School,Manager,Yes
USR00032,Heloisa,das Neves,heloisa.das neves859@mycompany.com,*Wr5Fqjal^,"Chácara Casa Grande, 4",Brasília,Brazil,(041) 2309 6837,1987-02-07,Single,Female,51611,0,PhD,Salesperson,No
USR00033,César,Jimenez,césar.jimenez321@mycompany.com,b9miNMt5&c,Callejón Mohamed Amigó 2,Madrid,Spain,+34873 960 219,1968-02-12,Single,Male,51353,1,Master's Degree,Engineer,Yes
